icsd_ids,formula,material_id,nelements,nsites
262725,In1Hg7S6Cl5,mp-1196151,4,38
262729,K2Na3P3O10,mp-1019781,4,36
262733,Na3Sc1B2O6,mp-1191513,4,24
262736,Ca1Ge3,mp-1205360,2,16
262737,Yb1Ga2Ni1,mp-1078497,3,8
262746,Zr1N2,mp-1008600,2,3
602,Bi4Cl2O5,mp-651836,3,132
608,Tb12Co7,mp-30967,2,38
609,Dy12Co7,mp-573622,2,38
610,Ho12Co7,mp-30969,2,38
611,Er12Co7,mp-30970,2,38
612,Sc1U3S6,mp-21583,3,40
618,Sb2S3O12,mp-27339,3,68
620,Na3Er1V2O8,mp-555537,4,28
630,Cs3Hg1Cl5,mp-27354,3,36
635,Li2Hg1P4O12,mp-559070,4,76
262780,Ca1Ga2S4,mp-1203500,3,56
636,Li2Cd1P4O12,mp-559715,4,76
639,Sm3Re1O8,mp-7423,3,48
640,Tl2Ge2S5,mp-12307,3,36
641,Cu1Te2Cl1,mp-30971,3,16
646,Cs2Na1Al3F12,mp-12309,4,18
647,Sn1Cl1F1,mp-27373,3,12
262792,La1Zn4,mp-861620,2,10
262790,Fe1H8N3O13,mp-1199758,4,100
651,P2Pb1O7,mp-1203776,3,120
262806,Mn5V1O8,mp-1193782,3,28
262810,Th1Tl1Cu1Se3,mp-1102015,4,12
262811,K1V1As1O5,mp-1202651,4,64
262816,V2Co2Se2O11,mp-1199860,4,34
262832,Nd1As1Ru1O1,mp-1080453,4,8
262833,Sm1As1Ru1O1,mp-1079308,4,8
262835,Lu1B2C1,mp-1105800,3,16
262837,Na1F1,mp-682,2,2
262840,U1Al20Cr2,mp-1199103,3,46
262843,Sr1Ta2O6,mp-17715,3,36
656063,Zr6Al7Cu16,mp-1193200,3,29
656076,Hf2Fe1,mp-2754,2,24
262882,Ba2Y1Ga1Se5,mp-1106265,4,18
262883,Ba2Nd1Ga1Se5,mp-1205363,4,18
262884,Ba2Sm1Ga1Se5,mp-1189376,4,18
262885,Ba2Gd1Ga1Se5,mp-1190156,4,18
262886,Ba2Dy1Ga1Se5,mp-1105698,4,18
262887,Ba2Er1Ga1Se5,mp-1105790,4,18
262888,Ba2Y1In1Se5,mp-1205397,4,18
262889,Ba2Nd1In1Se5,mp-1190093,4,18
262890,Ba2Sm1In1Se5,mp-1188304,4,18
262892,Ba2Dy1In1Se5,mp-1106127,4,18
262893,Ba2Er1In1Se5,mp-1188122,4,18
262917,Y1B6O12,mp-1200404,3,38
262931,Si5H8Cl4,mp-1188581,3,17
262935,Rb6U2Cu12S15,mp-1203307,4,140
262936,Cs6U2Cu12S15,mp-1199290,4,140
262941,Cd1Rh2O4,mp-14100,3,14
807,K1V3Cd4O12,mp-560167,4,40
808,Rb1Cd1Br3,mp-27400,3,20
810,Eu1As1,mp-1101926,2,12
810,Eu1As1,mp-1102993,2,12
812,Os5C16O16,mp-680248,3,111
813,Na2Co1Cl4,mp-27402,3,28
816,Sn1As1F7,mp-27405,3,27
262965,Bi6Mo2O15,mp-1204598,3,92
262966,Bi8Mo3O21,mp-1202541,3,128
828,Rb2Be2Si2O7,mp-557027,4,26
832,In4Ag9,mp-21975,2,52
262977,K3Zn1B5O10,mp-1019786,4,76
834,Be13Sb1,mp-13608,2,28
262992,Sr6Y2Al4O15,mp-1020715,4,27
849,Cs2V5O13,mp-616573,3,20
262995,Ca2Sc1Sb1O6,mp-1189528,4,20
656213,Nb2B3,mp-1080021,2,10
856,K2P4Pb1O12,mp-667288,4,152
656218,Ho1Al1B14,mp-569726,3,32
263004,Ca1Si3,mp-1205346,2,16
263005,Y1Si3,mp-1189560,2,16
263006,Y1Si3,mp-1189560,2,16
863,K2Ag4S3,mp-7494,3,18
862,Ca1Sb2,mp-7493,2,6
866,Na3La1V2O8,mp-558512,4,112
263028,Ca1Ni1Ge1H1,mp-1095188,4,8
887,U1Te6O6F30,mp-560028,4,43
263034,Ce33Fe13B18C34,mp-1197596,4,98
263039,Cs4U3Si4O17,mp-1192638,4,28
263040,K4Fe4P5O20,mp-1200063,4,66
263041,Nb7B8Ru6,mp-1191941,3,21
263042,Ta7B8Ru6,mp-1191981,3,21
901,Cu2As1Cl1O4,mp-617283,4,16
902,Co2As1Cl1O4,mp-551131,4,16
263049,Pd2Pb1O4,mp-1103838,3,14
263051,Bi1Pd2O4,mp-1104660,3,14
656267,Pr3Mn4Sn4,mp-1102859,3,11
263057,Rb1Ga2Au3,mp-1191301,3,24
263058,Cs1Ga2Au3,mp-1191527,3,24
914,Na2Sb4O7,mp-30972,3,26
915,Tb3In5S12,mp-20606,3,40
263061,Zn1In2Se4O12,mp-1201376,4,38
656289,Zr5Sn3B1,mp-1188408,3,18
656291,Zr5Sn3N1,mp-1189871,3,18
656294,Zr5Si1Sn3,mp-1106020,3,18
656295,Zr5Sn3P1,mp-1188507,3,18
656296,Zr5Sn3S1,mp-1189510,3,18
935,Li1Te3,mp-27466,2,48
938,Na1Mn1Cr1F6,mp-18641,4,27
656298,Zr5Zn1Sn3,mp-1189981,3,18
656301,Zr5Sn3As1,mp-1188640,3,18
656302,Zr5Sn3Se1,mp-1190294,3,18
263089,Nd2Ge9,mp-1191959,2,22
948,Sn2O1F2,mp-27480,3,10
949,Ag4P2S7,mp-27482,3,26
957,Y3Sb4Au3,mp-13654,3,20
960,Ca1H4Cl2O2,mp-696166,4,36
961,Fe1P3O11,mp-1181396,3,30
966,Sn3P2O8,mp-27493,3,52
263111,Y1Cd1Bi1O4,mp-1203156,4,56
971,Mn3Cu2O8,mp-504567,3,13
263119,Nb2O3,mp-1095187,2,10
263120,Ta2O3,mp-1079159,2,10
263126,Sn1H10Br4O5,mp-1200406,4,40
263127,Co9Te5Pb6O30,mp-1203045,4,100
263128,Ti1Ge1S3,mp-1105715,3,20
985,Ce1Cr2O10,mp-1194060,3,26
263132,Ba2Cd1Te3,mp-16904,3,24
263134,Yb11Sn2Bi8,mp-1200153,3,42
990,Sb1Ru1,mp-7565,2,8
999,V3As2,mp-540701,2,20
1004,Sc1Cl1,mp-27507,2,4
1010,Nb1Cl4,mp-31040,2,10
1012,Os1C4O4,mp-640748,3,108
1013,Te3As2S3F12,mp-662789,4,80
1014,Sb1Te1Se2F6,mp-662919,4,80
1015,Te1As1Se2F6,mp-667447,4,80
1018,Sc7Cl10,mp-27513,2,17
1020,Pt1N4O6,mp-1199962,3,88
1024,Ni3Bi2Se2,mp-30973,3,14
1025,Na4Fe2O5,mp-19396,3,44
1026,Na4Mn2O5,mp-18869,3,22
1027,Ca2Cu1Cl2O2,mp-23143,4,7
1028,Ca2Cu1Br2O2,mp-545481,4,7
656389,Hf1V1P1,mp-1095442,3,12
1029,Rb2Co1I4,mp-27517,3,14
1031,Nb1N1O1,mp-7596,3,12
1030,Cs2S1,mp-540703,2,12
1032,Ta1N1O1,mp-4165,3,12
1034,Rb1Ag3S2,mp-1205335,3,12
656395,Er9Fe10Ge10,mp-1194174,3,29
656394,Er3Fe4Ge4,mp-1103481,3,11
1037,Li5Al1O4,mp-7535,3,20
1036,Na3As1S3,mp-5830,3,28
1039,Re1C5Br1O5,mp-620054,4,48
656400,Er3Fe1Ge3,mp-1104653,3,14
1041,U1Cu1O6,mp-1188600,3,16
1042,Ca1Si1Sn1O5,mp-6809,4,16
1043,W1O4,mp-1201934,2,40
656404,Tm3Fe4Ge4,mp-1095685,3,11
1038,Ba2Cu1Cl1O2,mp-551456,4,6
